FIPS,# of Food Insecure Persons Overall (1 Year)
13309,1290
13311,3500
13313,12790
13315,1240
13317,1480
13319,1260
13321,2750
15001,29120
15003,119100
15005,60
15007,10250
15009,25980
16001,36850
16003,580
16005,9170
16007,590
16009,1160
16011,3900
16013,2180
16015,860
16017,5160
16019,9450
16021,1630
16023,320
16025,120
16027,20840
16029,490
16031,1940
16033,60
16035,1120
16037,570
16039,3080
16041,990
16043,1180
16045,2160
16047,1500
16049,1970
16051,1760
16053,2260
16055,16420
16057,4200
16059,940
16061,570
16063,490
16065,4280
16067,1970
16069,4240
16071,420
16073,1260
16075,2370
16077,650
16079,1990
16081,730
16083,8510
16085,1030
16087,1070
17001,6950
17003,1040
17005,1790
17007,4870
17009,530
17011,3420
17013,470
17015,1470
17017,1270
17019,22010
17021,3480
17023,1560
17025,1900
17027,3040
17029,7250
17031,566030
17033,1970
17035,1000
17037,11580
17039,1410
17041,1690
17043,62280
17045,1850
17047,730
17049,3320
17051,2640
17053,1390
17055,6240
17057,4080
17059,810
17061,1380
17063,4170
17065,980
17067,1920
17069,550
17071,620
17073,4840
17075,2760
17077,8160
17079,1000
17081,5080
17083,1900
17085,2170
17087,1350
17089,38650
17091,11870
17093,6520
17095,6490
17097,49570
17099,12730
17101,1940
17103,3740
17105,3860
17107,2820
17109,3550
17111,22050
17113,15910
17115,13070
17117,5010
17119,27540
17121,5130
17123,1160
17125,1750
17127,2010
17129,1050
17131,1530
17133,1790
17135,3620
17137,3870
17139,1190
17141,5030
17143,22590
17145,3010
17147,1110
17149,1730
17151,670
17153,820
17155,560
17157,3440
17159,1820
17161,16590
17163,28830
17165,3710
17167,21900
17169,910
17171,500
17173,2030
17175,580
17177,5170
17179,12240
17181,2220
17183,9930
17185,1350
17187,1590
17189,1070
17191,1990
17193,1750
17195,5460
17197,47130
17199,8550
17201,37300
17203,2650
18001,4260
18003,44920
18005,10110
18007,1100
18009,1930
18011,5010
18013,1570
18015,2080
18017,4620
18019,13150
18021,3320
18023,3560
18025,1630
18027,3660
18029,5220
18031,3200
18033,4890
18035,17320
18037,3900
18039,23190
18041,3920
18043,8290
18045,2160
18047,2200
18049,2600
18051,3730
18053,9870
18055,4280
18057,22370
18059,6730
18061,4420
18063,12290
18065,6510
18067,11850
18069,4310
18071,5870
18073,3690
18075,2770
18077,4590
18079,3480
18081,14630
18083,5310
18085,8270
18087,3450
18089,63560
18091,15240
18093,5600
18095,18820
18097,128270
18099,5400
18101,1190
18103,5100
18105,19540
18107,4390
18109,6950
18111,1730
18113,5230
18115,690
18117,3190
18119,2820
18121,2130
18123,2360
18125,1350
18127,18070
18129,2460
18131,1490
18133,3960
18135,3090
18137,3320
18139,2200
18141,35660
