FIPS,# of Food Insecure Persons Overall (1 Year)
46023,1210
46025,230
46027,1500
46029,2770
46031,830
46033,860
46035,2000
46037,560
46039,280
46041,1090
46043,200
46045,200
46047,850
46049,300
46051,480
46053,370
46055,190
46057,320
46059,240
46061,280
46063,80
46065,1470
46067,560
46069,70
46071,660
46073,150
46075,70
46077,350
46079,1000
46081,2730
46083,2700
46085,540
46087,390
46089,210
46091,300
46093,1940
46095,460
46097,210
46099,14640
46101,600
46102,3690
46103,11460
46105,230
46107,150
46109,1280
46111,200
46115,440
46117,150
46119,80
46121,2720
46123,520
46125,610
46127,1220
46129,570
46135,1950
46137,570
47001,11350
47003,6290
47005,2800
47007,2720
47009,14180
47011,14870
47013,7350
47015,2030
47017,4150
47019,9300
47021,4500
47023,1890
47025,5810
47027,1420
47029,6730
47031,8200
47033,1830
47035,8310
47037,85410
47039,1780
47041,3430
47043,6380
47045,5880
47047,4350
47049,2990
47051,6360
47053,6850
47055,4010
47057,3650
47059,11240
47061,2390
47063,9440
47065,43600
47067,1420
47069,3670
47071,3750
47073,9100
47075,2530
47077,4390
47079,5240
47081,3150
47083,1190
47085,2580
47087,1860
47089,7520
47091,3020
47093,53220
47095,1540
47097,4370
47099,6650
47101,1980
47103,4500
47105,5880
47107,8030
47109,4070
47111,3540
47113,13620
47115,4460
47117,4960
47119,10080
47121,1800
47123,7330
47125,24830
47127,650
47129,3660
47131,4910
47133,3390
47135,1500
47137,800
47139,2230
47141,10870
47143,5480
47145,7170
47147,7460
47149,32690
47151,4330
47153,2560
47155,14660
47157,128190
47159,2610
47161,1810
47163,23290
47165,20020
47167,7180
47169,1190
47171,2880
47173,3060
47175,970
47177,6960
47179,17800
47181,2380
47183,4990
47185,3710
47187,14280
47189,13650
48001,8060
48003,2200
48005,15170
48007,4500
48009,1200
48011,210
48013,5830
48015,4030
48017,710
48019,3400
48021,10440
48023,560
48025,5500
48027,53820
48029,288320
48031,1510
48033,80
48035,2850
48037,14990
48039,42840
48041,34030
48043,1460
48045,210
48047,1700
48049,5680
48051,2440
48053,5760
48055,5930
48057,2580
48059,1940
48061,75390
48063,2160
48065,660
48067,5230
48069,820
48071,6170
48073,7630
48075,990
48077,1580
48079,540
48081,510
48083,1370
48085,109310
48087,450
48089,2390
48091,17960
48093,1970
48095,420
48097,5980
48099,11480
48101,320
48103,490
48105,490
48107,910
48109,430
48111,870
48113,373560
48115,2330
48117,2000
48119,870
48121,96610
48123,3150
48125,350
48127,2370
48129,420
48131,2000
48133,3280
48135,23160
48137,240
48139,19920
48141,126370
48143,5840
48145,3160
48147,4880
48149,3130
48151,520
48153,750
48155,150
48157,80400
48159,1290
48161,3360
48163,2910
48165,2820
48167,47740
48169,1020
48171,3470
48173,190
48175,1070
48177,2740
48179,3470
48181,19450
48183,20810
48185,4270
48187,18060
48189,4680
48191,510
48193,1440
48195,600
48197,600
48199,9210
48201,695310
48203,10630
48205,610
48207,870
48209,26660
48211,500
48213,13710
48215,164720
48217,5370
48219,3390
48221,7780
48223,5170
48225,3880
48227,5840
48229,850
48231,14620
48233,3140
48235,200
48237,1420
48239,2190
48241,6970
48243,350
48245,46070
48247,1020
48249,7420
48251,22190
48253,2740
48255,2060
48257,16130
48259,4700
48261,40
48263,100
48265,7690
48267,730
48269,60
48271,600
48273,5490
48275,490
48277,9020
48279,1980
48281,3020
48283,1060
48285,2480
48287,2050
48289,3010
48291,14420
48293,3860
48295,430
48297,2070
48299,3150
48301,30
48303,45900
48305,910
48307,1320
48309,39140
48311,70
48313,1950
48315,1800
48317,660
48319,520
48321,6400
48323,11660
48325,6180
48327,350
48329,20680
48331,3850
48333,650
48335,1100
48337,3210
48339,73560
48341,2180
48343,2340
48345,180
48347,12130
48349,7600
48351,2860
48353,2320
48355,55000
48357,1270
48359,260
48361,14220
48363,4580
48365,3720
48367,16790
48369,1020
48371,2150
48373,9150
48375,19010
48377,1950
48379,1790
48381,16120
48383,450
48385,730
48387,2070
48389,1850
48391,1110
48393,100
48395,2440
48397,8920
48399,1420
48401,7310
48403,2180
48405,1900
48407,4710
48409,10840
48411,860
48413,390
48415,2390
48417,470
48419,4500
48421,350
48423,32930
48425,1350
48427,15100
48429,1590
48431,100
48433,180
48435,520
48437,1300
48439,272440
48441,20460
48443,80
48445,2140
48447,280
48449,4680
48451,15990
48453,158120
48455,2830
48457,4240
48459,6970
48461,360
48463,4250
48465,7420
48467,8290
48469,14120
48471,10900
48473,6950
48475,1480
48477,4460
48479,44480
48481,5990
48483,840
48485,22270
48487,2340
48489,4080
48491,61070
48493,5400
48495,950
48497,9260
48499,7040
48501,1160
48503,2500
48505,3040
48507,2720
49001,540
49003,5440
49005,13160
49007,2840
49009,50
49011,27460
49013,2810
49015,1230
49017,830
49019,1470
49021,6680
49023,1250
49025,1060
49027,1440
49029,660
49031,320
49033,280
49035,111390
49037,2930
49039,3340
49041,2620
49043,3420
49045,5930
49047,5060
49049,56270
49051,2880
49053,19190
49055,350
49057,24270
50001,3070
50003,4040
50005,3260
50007,14470
50009,750
50011,4500
50013,500
50015,2830
50017,2600
50019,3210
50021,6430
50023,5440
50025,5140
50027,5170
51001,3840
51003,8310
51005,1920
51007,1120
51009,2930
51011,1660
51013,16670
51015,6220
51017,610
51019,6230
51021,670
51023,2250
51025,1980
51027,4180
51029,2000
51031,5240
51033,2270
51035,4110
51036,640
51037,1800
51041,22370
51043,1010
51045,570
51047,3800
51049,860
51051,2770
51053,2550
51057,1210
51059,66080
51061,4070
51063,1400
51065,1670
51067,5890
51069,5780
51071,1650
51073,3190
51075,1270
51077,1960
51079,1650
51081,1060
51083,4000
51085,6020
51087,27040
51089,6610
51091,210
51093,3040
51095,5850
51097,530
51099,1480
51101,1100
51103,1180
51105,4530
51107,15790
51109,3340
51111,1360
51113,1040
51115,750
51117,3710
51119,940
51121,10460
51125,1440
51127,1000
51131,1490
51133,1090
51135,1760
51137,3360
51139,3120
51141,2130
51143,7100
51145,1510
51147,3060
51149,2820
51153,24310
51155,4590
51157,600
51159,940
51161,7130
51163,2470
51165,6360
51167,4330
51169,3050
51171,4750
51173,4800
51175,1330
51177,8980
51179,7560
51181,680
51183,1070
51185,6050
51187,3860
51191,6760
51193,1920
51195,6570
51197,3640
51199,4530
51510,13320
51520,2980
51530,800
51540,5880
51550,16720
51570,1780
51580,610
51590,6630
51595,840
51600,1520
51610,660
51620,1030
51630,3420
51640,1050
51650,15320
51660,6220
51670,3840
51678,950
51680,9970
51683,2230
51685,990
51690,2330
51700,22210
51710,32260
51720,840
51730,5640
51735,760
51740,11690
51750,2790
51760,32000
51770,13120
51775,2360
51790,2880
51800,6550
51810,34690
51820,2860
51830,1660
51840,3510
53001,2390
53003,2550
53005,19680
53007,8410
53009,10580
53011,47630
53013,410
53015,14600
53017,4640
53019,1320
53021,9120
53023,260
53025,10530
53027,10950
53029,8290
53031,4130
53033,197210
53035,26220
53037,5520
53039,2720
53041,10330
53043,1200
53045,8250
53047,6390
53049,3140
53051,1680
53053,94860
53055,1670
53057,14020
53059,1280
53061,72540
53063,62080
53065,5870
53067,29310
53069,490
53071,6070
53073,26450
53075,6080
53077,29510
54001,2320
54003,9730
54005,3420
54007,2080
54009,2580
54011,13820
54013,1460
54015,1770
54017,800
54019,7070
54021,840
54023,1090
54025,4760
54027,2670
54029,3660
54031,1540
54033,8090
54035,3880
54037,4000
54039,23650
54041,2310
54043,3390
54045,6490
54047,3970
54049,6910
54051,3960
54053,3060
54055,9100
54057,2990
54059,5350
54061,11470
54063,1560
54065,1180
54067,3690
54069,5000
54071,660
54073,810
54075,1270
54077,3710
54079,4860
54081,11340
54083,3740
54085,1280
54087,2560
54089,2000
54091,2080
54093,780
54095,1090
54097,3370
54099,6050
54101,1490
54103,2220
54105,990
54107,10830
54109,3730
55001,2370
55003,1960
55005,4160
55007,1670
55009,21220
55011,1160
55013,1760
55015,2470
55017,5400
55019,2720
55021,3950
55023,1670
55025,37910
55027,6470
55029,2220
55031,4930
55033,3770
55035,9130
55037,430
55039,7870
55041,1250
55043,4540
55045,2640
55047,1750
55049,1770
55051,750
55053,2220
55055,6180
55057,3030
55059,15440
55061,1280
55063,9620
55065,1280
55067,1990
55069,2280
55071,6380
55073,10300
55075,4330
55077,1490
55078,920
55079,111910
55081,3930
55083,3030
55085,2970
55087,12820
55089,4760
55091,610
55093,3090
55095,3820
55097,5560
55099,1360
55101,17950
55103,1640
55105,15810
55107,1390
55109,5670
55111,5780
55113,1910
55115,3630
55117,7860
55119,1540
55121,2230
55123,2880
55125,2160
55127,7540
55129,1610
55131,7840
55133,22120
55135,4250
55137,2100
55139,14320
55141,6860
56001,4290
56003,1250
56005,5280
56007,1620
56009,1420
56011,680
56013,5210
56015,1390
56017,580
56019,1130
56021,9780
56023,1830
56025,9710
56027,340
56029,2810
56031,980
56033,3180
56035,1060
56037,4990
56039,2120
56041,2260
56043,840
56045,760
1001,8670
1003,28590
1005,5250
1007,3680
1009,8380
1011,1610
1013,3280
1015,19660
1017,5190
1019,4170
1021,7590
1023,2440
1025,4490
1027,2200
1029,2710
1031,8130
1033,9040
1035,1990
1037,1620
1039,6730
1041,2150
1043,13610
1045,8790
1047,7430
1049,12300
1051,11280
1053,6570
1055,17250
1057,3090
1059,5130
1061,5230
1063,1850
1065,2510
1067,2490
1069,17160
1071,9390
1073,94780
1075,2590
1077,14340
1079,5850
1081,23990
1083,13540
1085,1940
1087,2890
1089,47180
1091,3350
1093,5730
1095,16380
1097,65300
1099,4240
1101,34010
1103,17850
1105,1870
1107,3610
1109,5640
1111,3520
1113,9730
1115,12680
1117,22700
1119,2530
1121,13530
1123,6650
1125,29660
1127,11950
1129,3050
1131,2140
1133,4460
2013,370
2016,650
2020,32090
2050,4080
2060,110
2068,340
2070,810
2090,10990
2100,350
2105,320
2110,3310
2122,7890
2130,1790
2150,1550
2158,2360
2164,230
2170,12680
2180,1890
2185,1290
2188,1720
2195,410
2198,1170
2220,980
2230,150
2240,990
2261,1040
2275,340
2282,80
2290,1180
4001,16900
4003,17830
4005,20700
4007,9350
4009,5630
4011,1160
4012,3870
4013,506640
4015,34740
4017,22650
4019,136740
4021,51730
4023,6760
4025,31400
4027,38200
5001,2940
5003,3280
5005,6690
5007,31180
5009,6000
5011,1890
5013,720
5015,4010
5017,2250
5019,3800
5021,3040
5023,4100
5025,1370
5027,4260
5029,3780
5031,17140
5033,10370
5035,8000
5037,2780
5039,1170
5041,2240
5043,2970
5045,18870
5047,3540
5049,2340
5051,17110
5053,2800
5055,8050
5057,3470
5059,5900
5061,2060
5063,6450
5065,2530
5067,3660
5069,11520
5071,5080
5073,1290
5075,3050
5077,1610
5079,2210
5081,2030
5083,4000
5085,10260
5087,2600
5089,2990
5091,7530
5093,8240
5095,1400
5097,1770
5099,1500
5101,1310
5103,4210
5105,1900
5107,4220
5109,1880
5111,4660
5113,4020
5115,10940
5117,1350
5119,57350
5121,3280
5123,4680
5125,14850
5127,1930
5129,1560
5131,22490
5133,2790
5135,3540
5137,2430
5139,6150
5141,3170
5143,33140
5145,13180
5147,1340
5149,3510
6001,139810
6003,140
6005,4120
6007,32450
6009,5360
6011,2870
6013,87180
6015,4350
6017,16890
6019,144790
6021,3790
6023,20060
6025,34580
6027,1800
6029,121800
6031,20220
6033,9640
6035,3790
6037,1079900
6039,19620
6041,19210
6043,2450
6045,11950
6047,38880
6049,1390
6051,1240
6053,43610
6055,10660
6057,10310
6059,264340
6061,31230
6063,2500
6065,216050
6067,168410
6069,4220
6071,206710
6073,305100
6075,92090
6077,85740
6079,25660
6081,50810
6083,41030
6085,140120
6087,27710
6089,25910
6091,350
6093,7020
6095,37600
6097,43600
6099,64300
6101,13170
6103,10170
6105,2020
6107,71990
6109,6860
6111,65680
6113,23330
6115,10090
8001,44230
8003,2340
8005,53830
8007,1380
8009,530
8011,1130
8013,29610
8014,5390
8015,2080
8017,200
8019,830
8021,1080
8023,650
8025,1070
8027,530
8029,4410
8031,75240
8033,230
8035,19580
8037,3620
8039,1600
8041,72750
8043,6420
8045,4860
8047,440
8049,1330
8051,1680
8053,120
8055,960
8057,110
8059,48030
8061,170
8063,700
8065,870
8067,5050
8069,33690
8071,2070
8073,660
8075,2470
8077,18870
8079,90
8081,1690
8083,3600
8085,5130
8087,2710
8089,2990
8091,480
8093,1530
8095,340
8097,1560
8099,1490
8101,23230
8103,700
8105,1550
8107,2350
8109,840
8111,60
8113,850
8115,320
8117,2460
8119,2350
8121,510
8123,25430
8125,1100
9001,91810
9003,101420
9005,18880
9007,16320
9009,101640
9011,31300
9013,14810
9015,14720
10001,21960
10003,58290
10005,25200
11001,71420
12001,35680
12003,3430
12005,27310
12007,4480
12009,70100
12011,190080
12013,2110
12015,24510
12017,22460
12019,22750
12021,37520
12023,9990
12027,5930
12029,2870
12031,117700
12033,40850
12035,13350
12037,1870
12039,6240
12041,2700
12043,1840
12045,2180
12047,2730
12049,4110
12051,6270
12053,25990
12055,15730
12057,164350
12059,3510
12061,18360
12063,7340
12065,1810
12067,910
12069,41140
12071,85350
12073,36930
12075,6610
12077,1260
12079,3090
12081,44200
12083,48840
12085,17660
12086,276980
12087,8080
12089,9710
12091,25060
12093,6050
12095,150730
12097,38980
12099,154670
12101,66920
12103,121620
12105,88770
12107,12210
12109,22900
12111,36550
12113,20200
12115,47540
12117,46720
12119,14570
12121,6190
12123,3510
12125,2280
12127,71190
12129,3640
12131,9010
12133,4200
13001,2790
13003,1390
13005,1860
13007,540
13009,6600
13011,2540
13013,9010
13015,13800
13017,3190
13019,3470
13021,24190
13023,1820
13025,3100
13027,2280
13029,4290
13031,11710
13033,3200
13035,3620
13037,960
13039,7060
13043,2020
13045,15780
13047,8250
13049,2230
13051,35500
13053,1810
13055,4100
13057,21960
13059,20980
13061,620
13063,32810
13065,1430
13067,64630
13069,6680
13071,7110
13073,13190
13075,2800
13077,14340
13079,1810
13081,4320
13083,2370
13085,2620
13087,4310
13089,78940
13091,3600
13093,2090
13095,15320
13097,13950
13099,1800
13101,640
13103,5830
13105,3010
13107,3830
13109,1730
13111,3820
13113,7950
13115,14810
13117,16360
13119,4030
13121,116910
13123,4680
13125,430
13127,11890
13129,8800
13131,4010
13133,2270
13135,76240
13137,5960
13139,21890
13141,1130
13143,4370
13145,3170
13147,3670
13149,1740
13151,17610
13153,18270
13155,1580
13157,7530
13159,1830
13161,2510
13163,2390
13165,1550
13167,1520
13169,3330
13171,2660
13173,1670
13175,8030
13177,3220
13179,7990
13181,1120
13183,2690
13185,17680
13187,4180
13189,3380
13191,1990
13193,1990
13195,4280
13197,1030
13199,3500
13201,840
13205,3390
13207,3370
13209,1390
13211,1930
13213,5730
13215,31170
13217,12930
13219,3060
13221,1800
13223,14390
13225,3990
13227,3980
13229,2990
13231,1840
13233,6230
13235,1840
13237,2730
13239,340
13241,2680
13243,1270
13245,31250
13247,8210
13249,740
13251,2120
13253,1420
13255,9180
13257,3760
13259,1130
13261,4880
13263,790
13265,230
13267,4000
13269,1340
13271,2900
13273,1580
13275,6520
13277,6120
13279,4580
13281,1720
13283,1350
13285,10720
13287,1480
13289,1190
13291,3220
13293,3960
13295,10720
13297,10220
13299,5950
13301,810
13303,3030
13305,4090
13307,370
13309,1410
13311,3820
13313,13160
13315,1340
13317,1560
13319,1330
13321,3090
15001,26200
15003,103120
15005,10
15007,7000
15009,17090
16001,40370
16003,550
16005,10390
16007,710
16009,1390
16011,4310
16013,1980
16015,740
16017,5440
16019,10880
16021,1590
16023,310
16025,120
16027,22100
16029,630
16031,2300
16033,60
16035,1220
16037,640
16039,3270
16041,1230
16043,1250
16045,2340
16047,1580
16049,2270
16051,1890
16053,2530
16055,16960
16057,4520
16059,960
16061,620
16063,520
16065,4930
16067,2130
16069,4540
16071,450
16073,1360
16075,2600
16077,720
16079,2230
16081,570
16083,9190
16085,990
16087,1250
17001,7310
17003,1020
17005,1770
17007,4650
17009,560
17011,3550
17013,580
17015,1500
17017,1300
17019,23510
17021,3730
17023,1790
17025,1860
17027,3220
17029,7280
17031,481720
17033,2100
17035,1230
17037,11370
17039,1650
17041,1880
17043,56610
17045,2000
17047,680
17049,3390
17051,2830
17053,1630
17055,6120
17057,4280
17059,810
17061,1530
17063,4250
17065,930
17067,2080
17069,560
17071,680
17073,4980
17075,3100
17077,8620
17079,1230
17081,5030
17083,2120
17085,2070
17087,1340
17089,37020
17091,12270
17093,5330
17095,6840
17097,49020
17099,12700
17101,2200
17103,3830
17105,4380
17107,2970
17109,4020
17111,20670
17113,16340
17115,13510
17117,5310
17119,28500
17121,5200
17123,1180
17125,1750
17127,2030
17129,1200
17131,1570
17133,2140
17135,3730
17137,4150
17139,1260
17141,5050
17143,20920
17145,2790
17147,1270
17149,1870
17151,620
17153,810
17155,540
17157,3490
17159,2070
17161,15750
17163,27690
17165,3880
17167,22010
17169,990
17171,560
17173,2180
17175,670
17177,5160
17179,12370
17181,2400
17183,10200
17185,1340
17187,1840
17189,1120
17191,2060
17193,1710
17195,5730
17197,38860
17199,8490
17201,34520
17203,2970
18001,4500
18003,43760
18005,10010
18007,1170
18009,1740
18011,5630
18013,1630
18015,2270
18017,4930
18019,13280
18021,3540
18023,3820
18025,1700
18027,3990
18029,5390
18031,3320
18033,5060
18035,18010
18037,4270
18039,23200
18041,3860
18043,8660
18045,2170
18047,2420
18049,2560
18051,3740
18053,10400
18055,4570
18057,24270
18059,7170
18061,4870
18063,13290
18065,6940
18067,11680
18069,4340
18071,5860
18073,3810
18075,2900
18077,4360
18079,3440
18081,15200
18083,5590
18085,8730
18087,3530
18089,58900
18091,14380
18093,6180
18095,19140
18097,128410
18099,5660
18101,1340
18103,5120
18105,21080
18107,4810
18109,8220
18111,1870
18113,4830
18115,640
18117,3010
18119,3050
18121,2420
18123,2330
18125,1560
18127,17570
18129,2620
18131,1660
18133,4560
18135,3530
18137,3520
18139,2290
18141,34870
18143,3620
18145,5360
18147,2270
18149,3150
18151,3820
18153,2860
18155,1680
18157,24550
18159,1640
18161,820
18163,25610
18165,2410
18167,17270
18169,3870
18171,960
18173,6100
18175,3680
18177,10060
18179,2910
18181,2730
18183,3620
19001,680
19003,350
19005,1160
19007,1710
19009,510
19011,1960
19013,13150
19015,2020
19017,1530
19019,1660
19021,1640
19023,1250
19025,850
19027,1540
19029,1410
19031,1210
19033,3960
19035,1020
19037,900
19039,910
19041,1600
19043,1820
19045,4820
19047,1900
19049,4580
19051,690
19053,930
19055,1240
19057,4690
19059,1400
19061,8180
19063,830
19065,1930
19067,1810
19069,830
19071,620
19073,810
19075,780
19077,870
19079,1260
19081,920
19083,1500
19085,1210
19087,1850
19089,720
19091,980
19093,580
19095,1180
19097,1850
19099,3210
19101,1790
19103,12220
19105,1670
19107,970
19109,1430
19111,3860
19113,17540
19115,870
19117,850
19119,590
19121,1140
19123,2260
19125,2800
19127,3710
19129,1230
19131,730
19133,980
19135,700
19137,1000
19139,3140
19141,1280
19143,510
19145,1500
19147,730
19149,1900
19151,620
19153,39470
19155,8550
19157,1510
19159,420
19161,750
19163,15320
19165,870
19167,1830
19169,8280
19171,1470
19173,520
19175,1400
19177,710
19179,3770
19181,3520
19183,1860
19185,700
19187,3860
19189,890
19191,1480
19193,9160
19195,660
19197,1140
20001,1920
20003,1060
20005,2330
20007,670
20009,3460
20011,2260
20013,1280
20015,7210
20017,300
20019,540
20021,2960
20023,290
20025,240
20027,960
20029,1100
20031,1100
20033,200
20035,4820
20037,6190
20039,420
20041,2500
20043,980
20045,15380
20047,290
20049,410
20051,3560
20053,700
20055,3360
20057,3270
20059,2990
20061,4780
20063,310
20065,290
20067,630
20069,470
20071,130
20073,870
20075,250
20077,790
20079,3870
20081,330
20083,210
20085,1660
20087,1920
20089,410
20091,50040
20093,470
20095,780
20097,250
20099,3210
20101,190
20103,8730
20105,350
20107,1530
20109,300
20111,4010
20113,3050
20115,1320
20117,1080
20119,360
20121,3320
20123,810
20125,5130
20127,620
20129,310
20131,1100
20133,2650
20135,310
20137,600
20139,2210
20141,470
20143,640
20145,720
20147,610
20149,2200
20151,1080
20153,310
20155,7930
20157,540
20159,1210
20161,10170
20163,570
20165,360
20167,860
20169,6750
20171,420
20173,63780
20175,2090
20177,20560
20179,240
20181,700
20183,450
20185,480
20187,240
20189,650
20191,2920
20193,890
20195,300
20197,650
20199,170
20201,620
20203,170
20205,1300
20207,530
20209,22310
21001,3210
21003,3180
21005,3020
21007,1100
21009,7740
21011,2230
21013,6650
21015,11420
21017,2690
21019,8130
21021,4060
21023,1180
21025,3280
21027,3160
21029,8540
21031,2090
21033,1980
21035,5870
21037,10680
21039,620
21041,1710
21043,5310
21045,2810
21047,11600
21049,4980
21051,5030
21053,1880
21055,1300
21057,1040
21059,13630
21061,2010
21063,1680
21065,3070
21067,38370
21069,2480
21071,8160
21073,6160
21075,1190
21077,1110
21079,2330
21081,3520
21083,5490
21085,4710
21087,1860
21089,5530
21091,1030
21093,13670
21095,7100
21097,2730
21099,3110
21101,7170
21103,2320
21105,640
21107,6950
21109,3030
21111,89690
21113,7320
21115,4460
21117,18960
21119,3530
21121,6540
21123,2030
21125,10350
21127,3160
21129,1640
21131,2660
21133,5360
21135,2720
21137,3910
21139,1440
21141,3650
21143,1250
21145,8980
21147,3810
21149,1300
21151,13210
21153,3090
21155,3150
21157,3740
21159,2230
21161,2680
21163,3630
21165,1200
21167,2920
21169,1770
21171,1860
21173,4540
21175,2430
21177,4680
21179,5170
21181,1420
21183,3700
21185,4400
21187,1670
21189,1040
21191,2040
21193,5540
21195,11740
21197,2230
21199,10890
21201,380
21203,2820
21205,4600
21207,3110
21209,5880
21211,4890
21213,2350
21215,1830
21217,4080
21219,1740
21221,1890
21223,1290
21225,2290
21227,16960
21229,1540
21231,3790
21233,2280
21235,6680
21237,1790
21239,2960
22001,11390
22003,3880
22005,12590
22007,3730
22009,7480
22011,5730
22013,2580
22015,17860
22017,39750
22019,28710
22021,1770
22023,810
22025,1560
22027,3150
22029,3450
22031,4550
22033,58620
22035,1750
22037,2420
22039,7230
22041,4020
22043,3760
22045,11750
22047,4800
22049,2870
22051,58000
22053,5040
22055,32960
22057,14110
22059,2320
22061,8480
22063,17380
22065,2460
22067,4860
22069,7640
22071,61940
22073,26360
22075,3440
22077,3810
22079,20910
22081,1410
22083,3880
22085,3880
22087,7540
22089,5460
22091,1450
22093,2710
22095,5010
22097,13990
22099,7600
22101,8430
22103,31170
22105,22080
22107,910
22109,17870
22111,3230
22113,9320
22115,8770
22117,8720
22119,7520
22121,2950
22123,2130
22125,1630
22127,2480
23001,13770
23003,10870
23005,29660
23007,3540
23009,6420
23011,15680
23013,4390
23015,4180
23017,7850
23019,21160
23021,2850
23023,3630
23025,8600
23027,5000
23029,5200
23031,21050
24001,12090
24003,51420
24005,88250
24009,7480
24011,4400
24013,16060
24015,12750
24017,11020
24019,4730
24021,24350
24023,4050
24025,24800
24027,24620
24029,2530
24031,89270
24033,66420
24035,4670
24037,12160
24039,4130
24041,4400
24043,21170
24045,13940
24047,7200
24510,96190
25001,15160
25003,12360
25005,54720
25007,1280
25009,59740
25011,6390
25013,50820
25015,12850
25017,102660
25019,830
25021,41100
25023,31400
25025,84280
25027,67240
26001,1710
26003,1310
26005,11770
26007,4250
26009,2930
26011,2500
26013,1240
26015,6010
26017,14920
26019,2080
26021,21200
26023,5980
26025,19030
26027,6660
26029,3200
26031,4280
26033,6390
26035,5730
26037,7610
26039,2210
26041,5340
26043,3470
26045,12960
26047,4220
26049,61960
26051,4100
26053,2280
26055,10360
26057,5880
26059,6460
26061,5420
26063,4250
26065,40100
26067,7360
26069,4140
26071,1610
26073,10730
26075,20740
26077,32200
26079,2750
26081,68860
26083,260
26085,2150
26087,10470
26089,2010
26091,11940
26093,16180
26095,1030
26097,1930
26099,102860
26101,3280
26103,9260
26105,4210
26107,6660
26109,3210
26111,9810
26113,2190
26115,17770
26117,8840
26119,1660
26121,23060
26123,6910
26125,123330
26127,3700
26129,3640
26131,890
26133,3610
26135,1390
26137,3460
26139,25700
26141,1940
26143,4300
26145,27570
26147,21790
26149,8370
26151,6140
26153,1380
26155,8650
26157,7680
26159,10090
26161,39690
26163,271600
26165,4680
27001,1870
27003,20120
27005,3170
27007,5880
27009,3750
27011,500
27013,6120
27015,1800
27017,3380
27019,4560
27021,3240
27023,1110
27025,3560
27027,5360
27029,1200
27031,560
27033,1070
27035,6280
27037,24300
27039,1130
27041,3010
27043,1280
27045,1750
27047,2730
27049,3650
27051,580
27053,95680
27055,1390
27057,2220
27059,3080
27061,4990
27063,720
27065,1640
27067,3500
27069,390
27071,1580
27073,570
27075,930
27077,340
27079,2190
27081,530
27083,2420
27085,2840
27087,830
27089,790
27091,2150
27093,1720
27095,2940
27097,3220
27099,3720
27101,680
27103,2740
27105,1840
27107,560
27109,10570
27111,5190
27113,1370
27115,3180
27117,890
27119,3050
27121,890
27123,52970
27125,380
27127,1280
27129,1250
27131,4720
27133,690
27135,1210
27137,20980
27139,6710
27141,5480
27143,1090
27145,14110
27147,2780
27149,730
27151,990
27153,2350
27155,320
27157,1720
27159,1730
27161,1550
27163,12290
27165,980
27167,580
27169,4230
27171,7600
27173,920
28001,6670
28003,6770
28005,2550
28007,3910
28009,1450
28011,7440
28013,2790
28015,1750
28017,3080
28019,1600
28021,2150
28023,2910
28025,3420
28027,5190
28029,5060
28031,3520
28033,22420
28035,16050
28037,1310
28039,4650
28041,2660
28043,3960
28045,8950
28047,39200
28049,37490
28051,4640
28053,2070
28055,400
28057,3980
28059,25290
28061,2850
28063,1790
28065,2100
28067,12640
28069,2060
28071,8510
28073,10390
28075,14250
28077,2310
28079,4780
28081,13570
28083,6460
28085,6180
28087,9960
28089,12470
28091,5010
28093,5520
28095,5910
28097,2060
28099,6340
28101,4260
28103,2230
28105,9160
28107,6070
28109,10100
28111,2430
28113,8540
28115,5460
28117,5120
28119,1690
28121,19280
28123,5550
28125,910
28127,4540
28129,2770
28131,3550
28133,5760
28135,2870
28137,4680
28139,4210
28141,3970
28143,1840
28145,4870
28147,2780
28149,8220
28151,11070
28153,3750
28155,1940
28157,2130
28159,3490
28161,2110
28163,6420
29001,3850
29003,1920
29005,740
29007,3700
29009,5770
29011,2010
29013,2230
29015,3310
29017,1890
29019,22660
29021,13170
29023,8480
29025,1300
29027,5330
29029,6660
29031,10320
29033,1210
29035,960
29037,11160
29039,2240
29041,1050
29043,9930
29045,970
29047,25160
29049,2300
29051,8410
29053,2300
29055,4060
29057,1220
29059,2640
29061,1090
29063,1610
29065,2840
29067,2380
29069,6030
29071,12490
29073,1830
29075,930
29077,42670
29079,1550
29081,1330
29083,3780
29085,1630
29087,570
29089,1280
29091,7540
29093,2000
29095,89820
29097,17570
29099,25110
29101,6970
29103,620
29105,5880
29107,4240
29109,5800
29111,1450
29113,6860
29115,1770
29117,2160
29119,3430
29121,2070
29123,1960
29125,1340
29127,4280
29129,430
29131,3820
29133,2540
29135,1860
29137,1220
29139,1720
29141,3520
29143,3220
29145,7770
29147,3200
29149,2100
29151,1260
29153,2000
29155,3480
29157,2080
29159,6210
29161,7290
29163,2530
29165,10010
29167,4760
29169,8290
29171,720
29173,1240
29175,3780
29177,2820
29179,1120
29181,2940
29183,32040
29185,1570
29186,2120
29187,10720
29189,100910
29195,3280
29197,750
29199,630
29201,6390
29203,1790
29205,880
29207,5320
29209,4560
29211,790
29213,8810
29215,5110
29217,3050
29219,4320
29221,4430
29223,2780
29225,5850
29227,270
29229,3560
29510,48840
30001,1030
30003,2100
30005,1230
30007,530
30009,970
30011,130
30013,8490
30015,640
30017,1220
30019,100
30021,870
30023,1300
30025,240
30027,1180
30029,9210
30031,7910
30033,70
30035,2520
30037,80
30039,340
30041,2130
30043,850
30045,190
30047,3830
30049,5920
30051,290
